,title,artist,,,,,,,,,,,,
15009,Show Me How to Live,Audioslave,2002,0,0,2016-10-12,Hard/Metal,Rock,English,,,,,
37414,Show Me Love,Robin S.,1990,0,0,2011-07-07,Dance,English,,,,,,
9571,Show Me Love,Robyn,1997,0,0,2012-02-09,Pop,English,,,,,,
50632,Show Me Love,Robin Schulz,2015,0,0,2016-03-01,Dance,Electro,English,,,,,
22564,Show Me Love,Steve Angello,2008,0,0,2013-04-15,Dance,Electro,English,,,,,
45017,Show Me Love,t.A.T.u.,2002,0,0,2013-09-21,Pop,80s,English,,,,,
45741,Show Me Love (America),The Wanted,2013,0,0,2016-02-25,"Teen pop,Pop",English,,,,,,
52280,Show Me The Magic,Jamie Cullum,2016,0,0,2017-10-05,Christmas,Jazz,English,,,,,
8851,Show Me the Meaning of Being Lonely,Backstreet Boys,1999,0,0,2018-05-02,"Teen pop,R&B",English,,,,,,
13546,Show Me The Way,Peter Frampton,1976,0,0,2011-10-28,Folk,English,,,,,,
24581,Show Me The Way,Styx,1990,0,0,2011-05-31,"Pop,Soft rock",English,,,,,,
25433,Show Off,The Drowsy Chaperone,2004,0,0,2011-05-30,Musical,English,,,,,,
24138,Show You The Way To Go,The Jackson 5,1977,0,0,2015-01-23,Disco,Soul,English,,,,,
47269,Shower,Becky G,2014,0,0,2014-07-29,"Rap,Teen pop,Pop",English,,,,,,
16198,Shower The People,James Taylor,1976,0,0,2013-10-17,Pop,Rock,English,,,,,
30137,Showing Out,Mel and Kim,1986,0,0,2012-04-23,80s,Dance,English,,,,,
27560,Shut It Down,Pitbull,2009,0,1,2011-05-30,Dance,Rap,English,,,,,
5764,Shut Up,Black Eyed Peas,2003,0,0,2011-05-30,Dance,R&B,Rap,English,,,,
25632,Shut Up,Simple Plan,2005,0,0,2011-05-30,Rock,English,,,,,,
42659,Shut Up (And Give Me Whatever You Got),Amelia Lily,2013,0,0,2013-02-08,Dance,Pop,English,,,,,
48523,Shut Up And Dance,Walk The Moon,2014,0,0,2015-02-24,Pop,Rock,Dance,English,,,,
49780,Shut Up And Dance,Derek Ryan,2015,0,0,2015-10-09,Country,Rock,English,,,,,
55215,Shut Up And Dance (Live),Nathan Carter,2017,0,0,2018-03-21,Pop,English,,,,,,
10395,Shut Up And Drive,Chely Wright,1997,0,0,2016-06-06,"Soft rock,Country",English,,,,,,
50560,Shut Up And Fish,Maddie & Tae,2015,0,0,2016-03-02,Country,Rock,English,,,,,
6616,Shut Up And Kiss Me,Mary Chapin Carpenter,1994,0,0,2016-08-31,Country,Rock,English,,,,,
19814,Shut Up And Let Me Go,The Ting Tings,2008,0,0,2011-12-04,Alternative,Rock,Dance,English,,,,
48662,Shut Up Train,Little Big Town,2010,0,0,2015-02-19,"Soft rock,Love,Country",English,,,,,,
47003,Shutters And Boards,Charley Pride,1969,0,0,2014-07-17,Country,English,,,,,,
23348,Shuttin' Detroit Down,John Rich,2009,0,0,2011-05-31,Country,English,,,,,,
11615,Shy Boy,Katie Melua,2005,0,0,2011-05-30,Blues,Jazz,English,,,,,
26328,Shy Guy,Diana King,1995,0,0,2018-06-14,"R&B,Reggae,TV & movie soundtrack",English,,,,,,
43841,Si,Zaz,2013,0,0,2016-06-07,French pop,French,,,,,,
52104,Si,Kids United,2016,0,0,2016-12-22,"French pop,Kids",French,,,,,,
20416,Si,Karen Cheryl,1980,0,0,2016-10-01,French pop,French,,,,,,
12560,Si aujourd'hui,Maurane,2006,0,0,2016-02-25,French pop,French,,,,,,
51821,Si c'était à refaire,Céline Dion,2016,0,0,2016-10-10,French pop,French,,,,,,
34806,Si c'était à refaire,Dany Brillant,2009,0,0,2016-06-05,"French pop,Latin",French,,,,,,
24065,Si c'était ça la vie,Emmanuel Moire,2006,0,0,2016-06-05,French pop,French,,,,,,
22714,Si demain... (Turn Around),Bonnie Tyler,2003,1,0,2012-01-27,"Duet,Soft rock",English,French,,,,,
39011,Si Dieu existe,Claude Dubois,1996,0,0,2016-06-05,French pop,French,,,,,,
30299,Si Dieu existe (duo),Claude Dubois,2007,1,0,2016-08-20,"Duet,French pop",French,,,,,,
20260,Si Dios Me Quita La Vida,Javier Solís,1992,0,0,2011-06-08,Latin,Spanish,,,,,,
37562,Si douce à mon souvenir,Claude François,1968,0,0,2015-04-30,French pop,French,,,,,,
12966,Si j'avais su t'aimer,Chimène Badi,2003,0,0,2016-10-02,French pop,French,,,,,,
20425,Si j'avais un marteau,Claude François,1963,0,0,2015-04-30,French pop,French,,,,,,
27304,Si j'étais elle,Julien Clerc,2001,0,0,2014-08-08,French pop,French,,,,,,
13470,Si j'étais un charpentier,Johnny Hallyday,1966,0,0,2011-05-31,French pop,French,,,,,,
48079,Si j'étais un charpentier (Live),Johnny Hallyday,2013,0,0,2015-01-21,French pop,French,,,,,,
11640,Si j'étais un homme,Diane Tell,1980,0,0,2015-03-12,French pop,French,,,,,,
49787,Si jamais j'oublie,Zaz,2015,0,0,2015-12-30,"French pop,Folk",French,,,,,,
44115,Si je chante,Sylvie Vartan,1963,0,0,2013-07-01,"French pop,Rock 'n Roll,Oldies",French,,,,,,
44969,Si je perds,Zaz,2013,0,0,2016-06-07,French pop,French,,,,,,
12287,Si je reste (un peu),Elodie Frégé,2007,0,0,2016-02-25,French pop,French,,,,,,
38686,Si je t'avais pas,Jean-Jacques Goldman,2001,0,0,2015-09-21,French pop,French,,,,,,
44828,Si je t'avais pas,Génération Goldman,2013,1,0,2015-10-09,"French pop,Duet",French,,,,,,
27748,"Si l'on s'aimait, si",Les Enfoirés,2010,0,0,2016-08-25,"French pop,Rock",French,,,,,,
20829,Si la vie est cadeau,Corinne Hermès,1983,0,0,2017-05-30,French pop,French,,,,,,
23598,Si Me Dejas Ahora,José José,1979,0,0,2011-12-18,Love,Spanish,,,,,,
39168,Si mes larmes tombent,Christophe Willem,2011,0,0,2016-08-21,French pop,French,,,,,,
46570,Si mort à mors,Tri Yann,1981,0,0,2016-06-07,"Celtic,Traditionnal,French pop",French,,,,,,
21094,Si no te hubieras ido,Maná,2008,0,0,2017-09-15,Rock,Pop,Spanish,,,,,
47970,Si no te quisiera,Juan Magán,2014,0,0,2015-08-10,Latin,Dance,Spanish,,,,,
16591,Si nos dejan,Placido Domingo,1995,0,0,2011-11-09,Pop,Latin,Traditionnal,Spanish,,,,
16077,Si nos quedara poco tiempo,Chayanne,2007,0,0,2016-02-28,"Pop,Soft rock,Latin",Spanish,,,,,,
12903,Si on chantait,Julien Clerc,1972,0,0,2014-04-22,French pop,French,,,,,,
54180,Si on chantait,Vianney,2017,0,0,2017-11-17,French pop,French,,,,,,
55538,Si on te demande,Amel Bent,2018,0,0,2018-05-31,French pop,French,,,,,,
16579,Si piensas... Si quieres...,Rocío Dúrcal,2006,0,0,2014-08-18,Love,Latin,Traditionnal,Spanish,,,,
14414,Si pudiera imaginarte,Tamara,2003,0,0,2014-08-24,Pop,Love,Latin,Spanish,,,,
22764,Si può dare di più,Umberto Tozzi,1987,0,0,2017-06-19,"Pop,Soft rock",Italian,,,,,,
12869,Si seulement je pouvais lui manquer,Calogero,2004,0,0,2016-06-04,French pop,French,,,,,,
48421,Si seulement je pouvais lui manquer,Sidaction,2014,0,0,2016-06-07,French pop,French,,,,,,
45422,Si seulement je pouvais lui manquer (version symphonique),Calogero,2010,0,0,2016-06-06,French pop,French,,,,,,
34263,Si toi aussi tu m'abandonnes,Eddy Mitchell,2009,0,0,2016-02-25,French pop,French,,,,,,
39042,Si toi aussi tu m'abandonnes,John William,1962,0,0,2016-06-05,"French pop,TV & movie soundtrack",French,,,,,,
21465,Si tu l'avoues,Anggun,2008,0,0,2016-02-25,French pop,French,,,,,,
53538,Si tu m'aimes encore,Shy'm,2017,0,0,2017-07-19,"French pop,Electro",French,,,,,,
11805,Si tu m'emmènes,Jean-Jacques Goldman,1982,0,0,2015-11-05,French pop,French,,,,,,
22017,Si tu m'entends,Amel Bent,2007,0,0,2016-02-25,"Soft rock,French pop",French,,,,,,
45079,Si tu me voyais,Grégoire,2013,0,0,2016-06-07,French pop,French,,,,,,
25118,Si tu n'as pas d'amour,Lara Fabian,2005,0,0,2013-05-17,"French pop,Funk",French,,,,,,
32267,Si tu n'me laisses pas tomber,Gérard Lenorman,1973,0,0,2016-03-15,French pop,French,,,,,,
38617,Si tu n'me laisses pas tomber (duo),Gérard Lenorman,2011,1,0,2016-05-04,"French pop,Duet",French,,,,,,
39877,Si Tú No Estás,Rosana,1996,0,0,2012-06-23,Folk,Pop,Latin,Spanish,,,,
23698,Si tú no vuelves,Miguel Bosé,1992,0,0,2011-05-30,Love,Spanish,,,,,,
48498,Si tu pouvais vivre ta vie (Les regrets),Dany Brillant,2014,0,0,2016-02-25,French pop,French,,,,,,
41994,Si tu savais,Marie-Pierre Arthur,2012,0,0,2016-06-05,French pop,French,,,,,,
21559,Si tu savais,Shy'm,2008,0,0,2011-09-20,"R&B,French pop",French,,,,,,
36329,Si tu savais combien je t'aime,Christian Adam,1973,0,0,2014-10-06,French pop,French,,,,,,
10273,Si tu t'appelles mélancolie,Joe Dassin,1974,0,0,2016-04-19,French pop,French,,,,,,
45505,Si tu t'appelles Mélancolie,Hélène Ségara,2013,1,0,2016-06-14,"French pop,Duet",French,,,,,,
22648,Si tu te atreves,Luis Miguel,2000,0,0,2016-08-22,"Love,Soft rock",Spanish,,,,,,
13472,Si tu vas à Rio,Dario Moreno,1958,0,0,2015-09-21,"French pop,Latin",French,,,,,,
20204,Si Volvieras A Mi,Josh Groban,2003,0,0,2011-05-30,Pop,Spanish,,,,,,
18127,Si Ya Se Acabó,Jennifer Lopez,2001,0,0,2011-05-31,Latin,Spanish,,,,,,
35019,Sic 'Em On A Chicken,Zac Brown Band,2008,0,0,2012-03-05,Country,English,,,,,,
5421,Sick And Tired,Anastacia,2004,0,0,2011-05-30,"Soft rock,R&B",English,,,,,,
41119,Sick Cycle Carousel,Lifehouse,2001,0,0,2013-07-24,Rock,Pop,English,,,,,
30051,Sick Of Love,Robert Ramirez,2010,0,0,2011-05-31,Dance,Pop,English,,,,,
20208,Side,Travis,2001,0,0,2011-05-30,Rock,Pop,English,,,,,
51768,Side to Side,Ariana Grande,2016,0,1,2016-10-05,Pop,R&B,Reggae,English,,,,
53002,Side to Side,Postmodern Jukebox,2017,0,0,2017-05-24,Pop,Soul,English,,,,,
36865,Sideline Ho (Clean),Monica,2006,0,0,2014-12-03,R&B,English,,,,,,
30740,Sidewalks,Story Of The Year,2005,0,0,2011-06-03,Pop,Rock,English,,,,,
22715,Sideways,Dierks Bentley,2009,0,0,2011-05-31,Country,English,,,,,,
54599,Sie,Andreas Gabalier,2011,0,0,2018-03-28,Rock,Schlager,German,,,,,
17008,Sie Liebt Den DJ,Michael Wendler,2004,0,0,2016-06-04,Schlager,Pop,German,,,,,
37831,Sie liebt ihn immer noch,Michael Wendler,2011,0,0,2016-06-05,Schlager,Dance,German,,,,,
17196,Sieben Fässer Wein,Roland Kaiser,1977,0,0,2015-09-10,Schlager,German,,,,,,
51970,Sieben Leben für dich,Maite Kelly,2016,0,0,2016-11-07,Pop,German,,,,,,
41653,"Sieben tage, sieben nächte",Wolfgang Petry,1994,0,0,2016-08-25,Schlager,German,,,,,,
39252,"Siebzehn Jahr, blondes Haar",Udo Jürgens,1965,0,0,2012-03-26,Schlager,German,,,,,,
42789,Siempre cantare,Chico & The Gypsies,2008,1,0,2013-07-24,Pop,Latin,World/Folk,Duet,Spanish,,,
22349,Siempre en mi mente,Álex Ubago,2008,0,0,2011-12-28,Soft rock,Spanish,,,,,,
49944,Sierra,Maddie & Tae,2014,0,0,2016-01-15,Country,Folk,English,,,,,
53277,Sierra,Boz Scaggs,1994,0,0,2017-06-29,Soft rock,English,,,,,,
19543,Sierra Madre,Schürzenjäger,1987,0,0,2012-09-04,Pop,World/Folk,German,,,,,
5994,Siffler sur la colline,Joe Dassin,1969,0,0,2016-03-02,French pop,French,,,,,,
42208,Sight Of You,Tulisa,2012,0,0,2016-02-25,Pop,R&B,English,,,,,
47167,Sign Of The Gypsy Queen,April Wine,1981,0,0,2014-07-26,Hard/Metal,Rock,English,,,,,
53042,Sign of the Times,Harry Styles,2017,0,0,2017-05-22,Rock,Pop,English,,,,,
13861,Sign Of The Times,The Belle Stars,1982,0,0,2012-06-01,Pop,Dance,Funk,80s,English,,,
55772,Sign Your Name,Corneille,2018,0,0,2018-08-16,Pop,English,,,,,,
13866,Sign Your Name,Terence Trent D'Arby,1987,0,0,2012-01-04,Pop,Love,Soul,80s,English,,,
55523,Signal,Joris,2018,0,0,2018-05-28,Pop,Rock,German,,,,,
11972,Signal Fire,Snow Patrol,2007,0,0,2016-08-25,"Pop,Rock,TV & movie soundtrack",English,,,,,,
18450,Signed Sealed And Delivered (I'm Yours),Stevie Wonder,1970,0,0,2011-05-31,Soul,Pop,English,,,,,
5534,"Signed, Sealed, Delivered I'm Yours",Blue,2003,0,0,2014-02-05,Funk,Soul,Pop,English,,,,
46314,"Signed, Sealed, Delivered I'm Yours",Michael McDonald,2003,0,0,2014-03-17,Soul,English,,,,,,
53304,Signs,Tesla,1990,0,0,2017-06-20,Rock,Hard/Metal,English,,,,,
15763,Signs,The Five Man Electrical Band,1970,0,0,2011-11-25,Rock,English,,,,,,
54566,Silence,Khalid,2017,0,0,2017-12-07,Pop,R&B,Electro,English,,,,
34101,Silence Is Golden,The Tremeloes,1967,0,0,2017-04-10,"Rock 'n Roll,Pop",English,,,,,,
40100,Silenced By The Night,Keane,2012,0,0,2012-07-26,Pop,Rock,English,,,,,
41519,Silent All These Years,Tori Amos,1991,0,0,2012-09-26,"Pop,Soft rock,Alternative",English,,,,,,
30796,Silent Lucidity,Queensrÿche,1991,0,0,2011-05-30,Rock,English,,,,,,
5082,Silent Night,Christmas Carol,1818,0,0,2008-06-26,Christmas,Traditionnal,Kids,English,,,,
51963,Silent Night,Martina McBride,1998,0,0,2016-11-04,Christmas,English,,,,,,
50203,Silent Night,Kelly Clarkson,2013,0,0,2015-12-30,Christmas,Traditionnal,English,,,,,
10417,Silent Night,Elvis Presley,1957,0,0,2014-12-10,Christmas,Oldies,English,,,,,
38592,Silent Night,Michael Bublé,2011,0,0,2011-11-22,Christmas,English,,,,,,
29983,Silent Night,Mariah Carey,1994,0,0,2011-05-30,Christmas,Gospel,Christian,Traditionnal,English,,,
34496,Silent Night,Garth Brooks,1993,0,0,2011-11-16,Christmas,Christian,Country,English,,,,
34391,Silent Night,Children's Chorus,1818,0,0,2011-05-30,Christmas,Christian,Traditionnal,Kids,Jazz,English,,
34220,Silent Night,Susan Boyle,2009,0,0,2014-09-30,Christmas,English,,,,,,
17730,Silent Night,Enya,2000,0,0,2011-05-31,Christmas,Pop,Other,,,,,
26326,Silent Night,Taylor Swift,2007,0,0,2011-05-30,Christmas,Country,English,,,,,
38927,Silent Night,Justin Bieber,2011,0,0,2011-12-06,Christmas,Pop,English,,,,,
26898,Silent Night,Phil Spector And Artists,1963,0,0,2011-05-30,Christmas,Oldies,English,,,,,
50108,Silent Night (Lord Of My Life),Lady Antebellum,2012,0,0,2015-11-30,Christmas,Country,English,,,,,
26636,Silent Night (Man Voice),Christmas Carol,1818,0,0,2011-05-30,Christmas,Traditionnal,Jazz,English,,,,
54404,Silent Night (With the Royal Philharmonic Orchestra),Elvis Presley,2017,0,0,2017-11-24,Christmas,Love,Pop,English,,,,
26635,Silent Night (Woman Voice),Christmas Carol,1818,0,0,2011-05-30,Christmas,Traditionnal,English,,,,,
8249,Silhouettes,The Rays,1957,0,0,2015-04-16,"Soul,Love,Rock 'n Roll,Oldies",English,,,,,,
32301,Silhouettes,Herman's Hermits,1965,0,0,2016-10-02,Pop,Rock,English,,,,,
40956,Silhouettes,Avicii,2012,0,0,2016-02-25,Electro,Dance,English,,,,,
26272,Silhouettes,Smile Empty Soul,2004,0,0,2012-01-17,Rock,Punk/Grunge,English,,,,,
54982,Silly,Deniece Williams,1981,0,0,2018-02-12,Soul,English,,,,,,
32561,Silly Love Songs,Wings,1976,0,0,2011-08-30,Pop,English,,,,,,
14875,Silver And Cold,Afi,2003,0,0,2012-03-16,Rock,Alternative,English,,,,,
6921,Silver and Gold,Dolly Parton,1991,0,0,2018-07-28,Country,English,,,,,,
39079,Silver Bells,Lady Antebellum,2010,0,0,2011-12-26,Christmas,Country,English,,,,,
7543,Silver Bells,Andy Williams,1965,0,0,2014-12-03,Christmas,Jazz,Oldies,English,,,,
10411,Silver Bells,Elvis Presley,1971,0,0,2014-11-27,Christmas,Oldies,English,,,,,
52049,Silver Bells,Dean Martin,1966,0,0,2016-12-06,Christmas,Oldies,English,,,,,
38585,Silver Bells,Michael Bublé,2011,0,0,2011-11-19,Christmas,Gospel,Jazz,English,,,,
54298,Silver Bells (with the Royal Philharmonic Orchestra),Elvis Presley,2017,0,0,2017-11-28,Christmas,Love,English,,,,,
44213,Silver Lining,Kacey Musgraves,2013,0,0,2013-08-18,Country,English,,,,,,
36424,Silver Lining,Hurts,2010,0,0,2011-10-03,80s,Pop,English,,,,,
51937,Silver Lining (Clap Your Hands),Imany,2016,0,0,2016-12-12,Soul,Pop,English,,,,,
14823,Silver Threads And Golden Needles,Linda Ronstadt,1969,0,0,2014-10-17,Country,English,,,,,,
10126,Silver Threads And Golden Needles,Tammy Wynette,1993,0,0,2014-06-18,Country,English,,,,,,
24090,Silver Wings,Merle Haggard,1969,0,0,2011-05-31,Country,Folk,English,,,,,
36720,Simon Says,1910 Fruitgum Company,1967,0,0,2015-07-29,Pop,English,,,,,,
55718,Simple,Florida Georgia Line,2018,0,0,2018-06-29,Country,Pop,Rock,English,,,,
47071,Simple As This,Jake Bugg,2012,0,0,2016-02-25,"Folk,Alternative,Rock,TV & movie soundtrack",English,,,,,,
7437,Simple Kind of Life,No Doubt,2000,0,0,2018-05-30,Pop,Rock,English,,,,,
13642,Simple Love,Alison Krauss,2007,0,0,2011-12-11,Country,English,,,,,,
23988,Simple Man,Lynyrd Skynyrd,1973,0,0,2011-05-30,Rock,Hard/Metal,Country,English,,,,
24946,Simple Man,Shinedown,2004,0,0,2011-05-31,Folk,Country,Blues,English,,,,
48304,Simple Man,Bad Company,1976,0,0,2015-02-05,Rock,Pop,English,,,,,
46136,Simple Man,Andreas Kümmert,2013,0,0,2014-02-05,Soul,Pop,English,,,,,
23229,Simple Song,Miley Cyrus,2008,0,0,2011-05-30,"Teen pop,Rock",English,,,,,,
55837,Simple Song of Freedom,Kevin Spacey,2004,0,0,2018-07-19,"TV & movie soundtrack,Pop",English,,,,,,
41551,Simply Amazing,Trey Songz,2012,0,0,2016-02-25,Pop,English,,,,,,
36268,Simply Irresistible,Robert Palmer,1988,0,0,2011-11-29,Hard/Metal,English,,,,,,
38507,Sin,Nine Inch Nails,1990,0,0,2013-06-06,Alternative,Rock,80s,English,,,,
54881,Sin contrato,Maluma,2015,0,0,2018-01-18,Latin,Pop,Spanish,,,,,
27860,Sin For A Sin,Miranda Lambert,2009,0,0,2011-05-31,Country,English,,,,,,
20281,Sin Miedo a Nada,La oreja de Van Gogh,2003,0,0,2014-08-13,Pop,Spanish,,,,,,
55492,Sin Pijama,Becky G,2018,1,0,2018-05-19,Latin,Reggae,Pop,Duet,Spanish,,,
6486,Sin Sin Sin,Robbie Williams,2006,0,0,2011-05-31,Pop,Rock,English,,,,,
22341,Sin tu amor,Camila,2006,0,0,2016-11-22,"Pop,Soft rock",Spanish,,,,,,
8751,Sin Wagon,Dixie Chicks,1999,0,0,2012-10-12,Country,English,,,,,,
7171,Since I Don't Have You,The Skyliners,1958,0,0,2014-03-26,Pop,Oldies,English,,,,,
31643,Since I Don't Have You,Guns N' Roses,1994,0,0,2012-07-27,Hard/Metal,Rock,English,,,,,
6986,Since I Fell For You,Lenny Welch,1963,0,0,2011-05-31,Oldies,English,,,,,,
15324,Since I Fell For You,Charlie Rich,1975,0,0,2013-07-01,Country,Blues,English,,,,,
44497,Since I Fell For You,Al Jarreau,1986,0,0,2013-08-07,Jazz,Soul,English,,,,,
10121,Since I Fell For You,Reba McEntire,1993,1,0,2015-09-01,Pop,Blues,Jazz,Duet,English,,,
38048,Since I Lost My Baby,The Temptations,1965,0,0,2015-11-24,Soul,English,,,,,,
52290,Since I Lost My Baby,Luther Vandross,1982,0,0,2016-12-20,Soul,English,,,,,,
51039,Since I Met You Baby,Dean Martin,1983,0,0,2016-04-25,Country,Love,English,,,,,
48909,Since I Met You Baby,Gary Moore,1992,1,0,2015-04-21,Blues,Rock,Duet,English,,,,
46244,Since I Saw You Last,Gary Barlow,2013,0,0,2014-02-17,Pop,Rock,English,,,,,
5582,Since U Been Gone,Kelly Clarkson,2004,0,0,2007-05-04,Rock,Pop,English,,,,,
43727,Since U Been Gone,Pitch Perfect,2012,1,0,2013-06-11,"TV & movie soundtrack,Pop,Duet",English,,,,,,
53868,Since U Been Gone,Postmodern Jukebox,2017,0,0,2017-09-14,Soul,English,,,,,,
13980,Since You Been Gone,Rainbow,1979,0,0,2011-05-31,Hard/Metal,Rock,English,,,,,
37930,Since You've Been Gone,The Outfield,1987,0,0,2011-09-22,Rock,Pop,English,,,,,
10966,Sincerely,The Moonglows,1955,0,0,2016-12-19,Oldies,Pop,English,,,,,
54016,Sincerely Me,Dear Evan Hansen,2017,1,0,2017-09-28,Musical,Pop,Duet,English,,,,
9759,Sing,The Carpenters,1973,0,0,2011-10-19,Folk,English,,,,,,
46857,Sing,Ed Sheeran,2014,0,0,2014-05-26,Pop,R&B,English,,,,,
52556,Sing,Pentatonix,2015,0,0,2017-03-06,Pop,English,,,,,,
36256,Sing,My Chemical Romance,2011,0,0,2011-05-31,Rock,Alternative,English,,,,,
11921,Sing,Travis,1999,0,0,2011-05-31,"Soft rock,Alternative,Pop",English,,,,,,
24583,Sing 'Cause I Love To,Rebecca Lynn Howard,2008,0,0,2011-11-09,Country,English,,,,,,
49784,Sing A Rainbow,Peggy Lee,1955,0,0,2015-10-21,"Jazz,Oldies,TV & movie soundtrack",English,,,,,,
32866,Sing A Simple Song,Sly And The Family Stone,1968,0,0,2011-05-31,Soul,Funk,English,,,,,
20740,Sing A Song,"Earth, Wind & Fire",1978,0,0,2011-12-27,Funk,Soul,Jazz,English,,,,
29107,Sing Along,Blue Man Group,2003,0,0,2012-04-17,Alternative,Rock,English,,,,,
41941,Sing c'est la vie,Frank Alamo,1965,0,0,2012-11-16,French pop,French,,,,,,
24039,Sing Hallelujah,Dr. Alban,1993,0,0,2011-11-16,Dance,English,,,,,,
12698,Sing It Back,Moloko,1999,0,0,2011-05-31,Pop,Dance,Electro,English,,,,
32236,Sing Me An Old Fashioned Song,Billie Jo Spears,1976,0,0,2016-03-03,Country,English,,,,,,
20857,Sing Me Back Home,Merle Haggard,1968,0,0,2014-09-25,Country,English,,,,,,
54195,Sing Me Back Home,Don Williams,2014,0,0,2017-11-08,Country,English,,,,,,
27840,Sing Me Home,Tim McGraw,2002,0,0,2011-11-16,Country,English,,,,,,
52064,Sing Me to Sleep,Alan Walker,2016,0,0,2016-11-29,Pop,Electro,English,,,,,
44302,Sing Sing Sing,The Andrews Sisters,1958,0,0,2013-07-31,Jazz,Oldies,English,,,,,
47201,Sing Sing Song,Claude Nougaro,1966,0,0,2016-06-06,"Jazz,French pop",French,,,,,,
23281,Sing When You're In Love,The Enemy,2009,0,0,2016-02-25,Rock,Alternative,English,,,,,
37957,Sing!,Glee,2010,1,0,2012-04-24,"Musical,Duet,TV & movie soundtrack",English,,,,,,
19061,Singin' In The Rain,Singin' In The Rain,1952,0,0,2011-05-31,Musical,English,,,,,,
35283,Singin' In The Rain / Umbrella,Glee,2010,0,0,2016-06-05,"TV & movie soundtrack,Pop,Musical",English,,,,,,
45427,Singing In The Rain,Forever Gentlemen,2013,1,0,2014-01-13,Jazz,Duet,English,,,,,
28776,Singing In The Rain,Jamie Cullum,2003,0,0,2011-06-16,Pop,Jazz,English,,,,,
39781,Singing Me Home,Lady Antebellum,2011,0,0,2012-03-18,Country,English,,,,,,
45205,Singing The Blues,The Kentucky Headhunters,1997,0,0,2013-11-01,"Country,Rock,Rock 'n Roll",English,,,,,,
18852,Singing The Blues,Marty Robbins,1956,0,0,2016-04-14,Pop,Country,Oldies,English,,,,
26458,Singing The Blues,Cliff Richard,2009,0,0,2011-05-30,"Blues,Rock 'n Roll",English,,,,,,
15966,Singing the Blues,Guy Mitchell,1956,0,0,2017-02-02,Rock 'n Roll,English,,,,,,
53706,Single for the Summer,Sam Hunt,2014,0,0,2018-06-27,Country,Pop,English,,,,,
8446,Single White Female,Chely Wright,1999,0,0,2014-03-05,Country,English,,,,,,
54410,Singles You Up,Jordan Davis,2017,0,0,2017-12-07,Pop,English,,,,,,
51222,Sinner's Prayer,Beth Hart,2011,0,0,2016-06-08,Blues,Rock,English,,,,,
52121,Sinner's Prayer,Lady Gaga,2016,0,0,2016-12-23,"Soft rock,Country,Pop",English,,,,,,
54577,Sinners Like Me,Eric Church,2006,0,0,2018-02-16,Country,English,,,,,,
49009,Sippin' On Fire,Florida Georgia Line,2014,0,0,2015-05-13,Country,Pop,Rock,English,,,,
9975,Sir Duke,Stevie Wonder,1977,0,0,2007-08-27,Funk,English,,,,,,
45508,Sirens,Cher,2013,0,0,2013-12-11,"Pop,Soft rock",English,,,,,,
45274,Sirens Call,Cats On Trees,2013,0,0,2015-01-26,Pop,Rock,English,,,,,
22685,Sissy's Song,Alan Jackson,2009,0,0,2011-05-31,"Country,Soft rock",English,,,,,,
34255,Sister Act,Sister Act,2009,0,0,2011-07-16,Musical,Pop,English,,,,,
41701,Sister Christian,Night Ranger,1983,0,0,2016-12-02,Rock,English,,,,,,
8426,Sister Golden Hair,America,1973,0,0,2012-02-13,Pop,English,,,,,,
13476,Sister Jane,Jean-Jacques Goldman,1975,0,0,2012-06-06,Soft rock,English,,,,,,
44881,Sister Moon,Sting,1987,0,0,2013-09-27,Jazz,Soul,English,,,,,
28984,Sisters,Rosemary Clooney,1954,0,0,2011-05-30,Jazz,English,,,,,,
34025,Sisters,The Puppini Sisters,2006,0,0,2011-08-05,Pop,Jazz,English,,,,,
14108,Sit Down,James,1991,0,0,2013-11-05,Rock,English,,,,,,
51679,"Sit Still, Look Pretty",Daya,2015,0,0,2016-09-16,Pop,Electro,English,,,,,
51446,Sittin' On the Dock of the Bay,Vigon Bamy Jay,2013,0,0,2016-07-11,Soul,Blues,English,,,,,
52906,Sittin' on Top of the World,Dean Martin,1973,0,0,2017-04-26,Jazz,Pop,English,,,,,
17252,Sittin' Up In My Room,Brandy,1995,0,0,2016-03-15,Pop,R&B,English,,,,,
21083,Sitting Down Here,Lene Marlin,1999,0,0,2016-12-21,Pop,Rock,English,,,,,
40512,Sitting On Top Of The World,Delta Goodrem,2012,0,0,2012-07-12,"Pop,Soft rock",English,,,,,,
46058,Siwo,Kassav,1986,0,0,2017-05-23,Zouk/Creole,Creole,,,,,,
41417,Six Days On The Road,Dave Dudley,1963,0,0,2012-09-11,"Country,Rock 'n Roll",English,,,,,,
10033,Six Days On The Road,Sawyer Brown,1997,0,0,2011-05-31,Country,English,,,,,,
42259,Six Degrees Of Separation,The Script,2012,0,0,2013-01-07,Rock,Pop,English,,,,,
23709,Six Foot Teddy Bear,Richie McDonald,2009,0,0,2012-05-16,"Soft rock,Country",English,,,,,,
28823,Six O'Clock News,Kathleen Edwards,2003,0,0,2012-01-22,Country,English,,,,,,
43135,Six roses,Annie Cordy,1964,0,0,2016-06-05,"French pop,Humour",French,,,,,,
8243,Sixteen Candles,The Crests,1953,0,0,2011-06-20,Oldies,English,,,,,,
6758,Sixteen Tons,Tennessee Ernie Ford,1960,0,0,2014-01-18,Country,English,,,,,,
28833,Sixteen Tons,The Platters,1957,0,0,2011-05-31,Oldies,Jazz,Pop,English,,,,
